,0,1,2,3,4,5,6,7,8,9,10,11,12,13
45,2.6,2.45,2.67,2.67,4.1,3.05,2.9,2.82,2.75,2.67,2.45,2.45,2.45,2.37
46,2.45,2.67,2.67,4.1,3.05,2.9,2.82,2.75,2.67,2.45,2.45,2.45,2.37,2.52
47,2.67,2.67,4.1,3.05,2.9,2.82,2.75,2.67,2.45,2.45,2.45,2.37,2.52,2.52
48,2.67,4.1,3.05,2.9,2.82,2.75,2.67,2.45,2.45,2.45,2.37,2.52,2.52,2.52
49,4.1,3.05,2.9,2.82,2.75,2.67,2.45,2.45,2.45,2.37,2.52,2.52,2.52,2.45
50,3.05,2.9,2.82,2.75,2.67,2.45,2.45,2.45,2.37,2.52,2.52,2.52,2.45,2.37
51,2.9,2.82,2.75,2.67,2.45,2.45,2.45,2.37,2.52,2.52,2.52,2.45,2.37,2.3
52,2.82,2.75,2.67,2.45,2.45,2.45,2.37,2.52,2.52,2.52,2.45,2.37,2.3,2.23
53,2.75,2.67,2.45,2.45,2.45,2.37,2.52,2.52,2.52,2.45,2.37,2.3,2.23,2.23
54,2.67,2.45,2.45,2.45,2.37,2.52,2.52,2.52,2.45,2.37,2.3,2.23,2.23,2.3
55,2.45,2.45,2.45,2.37,2.52,2.52,2.52,2.45,2.37,2.3,2.23,2.23,2.3,2.82
56,2.45,2.45,2.37,2.52,2.52,2.52,2.45,2.37,2.3,2.23,2.23,2.3,2.82,2.75
57,2.45,2.37,2.52,2.52,2.52,2.45,2.37,2.3,2.23,2.23,2.3,2.82,2.75,2.37
58,2.37,2.52,2.52,2.52,2.45,2.37,2.3,2.23,2.23,2.3,2.82,2.75,2.37,2.3
59,2.52,2.52,2.52,2.45,2.37,2.3,2.23,2.23,2.3,2.82,2.75,2.37,2.3,2.3
60,2.52,2.52,2.45,2.37,2.3,2.23,2.23,2.3,2.82,2.75,2.37,2.3,2.3,2.16
61,2.52,2.45,2.37,2.3,2.23,2.23,2.3,2.82,2.75,2.37,2.3,2.3,2.16,2.09
62,2.45,2.37,2.3,2.23,2.23,2.3,2.82,2.75,2.37,2.3,2.3,2.16,2.09,2.09
63,2.37,2.3,2.23,2.23,2.3,2.82,2.75,2.37,2.3,2.3,2.16,2.09,2.09,2.09
64,2.3,2.23,2.23,2.3,2.82,2.75,2.37,2.3,2.3,2.16,2.09,2.09,2.09,2.09
65,2.23,2.23,2.3,2.82,2.75,2.37,2.3,2.3,2.16,2.09,2.09,2.09,2.09,2.23
66,2.23,2.3,2.82,2.75,2.37,2.3,2.3,2.16,2.09,2.09,2.09,2.09,2.23,2.16
67,2.3,2.82,2.75,2.37,2.3,2.3,2.16,2.09,2.09,2.09,2.09,2.23,2.16,2.16
68,2.82,2.75,2.37,2.3,2.3,2.16,2.09,2.09,2.09,2.09,2.23,2.16,2.16,2.09
69,2.75,2.37,2.3,2.3,2.16,2.09,2.09,2.09,2.09,2.23,2.16,2.16,2.09,2.09
70,2.37,2.3,2.3,2.16,2.09,2.09,2.09,2.09,2.23,2.16,2.16,2.09,2.09,2.09
71,2.3,2.3,2.16,2.09,2.09,2.09,2.09,2.23,2.16,2.16,2.09,2.09,2.09,2.16
72,2.3,2.16,2.09,2.09,2.09,2.09,2.23,2.16,2.16,2.09,2.09,2.09,2.16,2.09
73,2.16,2.09,2.09,2.09,2.09,2.23,2.16,2.16,2.09,2.09,2.09,2.16,2.09,2.09
74,2.09,2.09,2.09,2.09,2.23,2.16,2.16,2.09,2.09,2.09,2.16,2.09,2.09,2.09
